"";"URL";"Info";"Direccion";"Precio";"Superficie";"Habitaciones";"Planta";"Longitud";"Latitud"
"1";"https://www.idealista.com/inmueble/27229943/";" ""Superf. 140 m², útil 126 m², 450 m² solar, 4 habitaciones (4 dobles), 3 baños, alumbrado, asfaltado, urbanizado, cocina (10,84 m2), terraza (41,17 m2 y porche), suelos (gres en p. Baja y tarima en p. 1ª), jardín, garaje (20,23 m2), armarios, calefacción (individual de gasoleo), puerta blindada, vidrios dobles (climalit con rpt y oscilobatientes), año construcción (2008), carpintería exterior (aluminio lacado blanco), carpintería interior (haya vaporizada), soleado, precioso chalet pareado en 2 plantas a estrenar."" ";" Casa o chalet independiente en venta en Moraleja del Vino";"193000";"161";"4";"Hipoteca 494 eur/mes - ";"-5.65837";"41.46396"
"2";"https://www.idealista.com/inmueble/32230544/";" ""Precioso piso totalmente reformado, en zona alta de singuerlín, muy tranquilo, soleado y luminoso, todo exterior, dos habitaciones dobles y una individual, baño y cocina perfectos, lavadero, balcón, calefaccion, ventanas de aluminio climalit, carpintería de haya.Visita nuestra web:."" ";"Piso en venta en calle de cabrera, Singuerlín, Santa Coloma de Gramenet";"120000";"75";"3";"1ª";"2.1981594";"41.4650652"
"3";"https://www.idealista.com/inmueble/28168577/";" ""Los gastos anuales de mi chalet suben a 400 Euro la contribuciín Urbana y 115 Basuras. Es decir unos 500 Euro anuales, es decir menos de 50 Euro al mes. No hay comunidad ni gastos extras. Estoy dispuesta a negociar el precio, una vez que lo haya visitado. Es mucho más espacioso de lo que parece por fuera y sobre todo muy seguro. No puede entrar nadie."" ";" Chalet adosado en venta en calle de Valls, 7, Eixample, Salou";"185000";"160";"4";"Hipoteca 474 eur/mes - ";"1.1502286";"41.0694854"
"4";"https://www.idealista.com/inmueble/27592502/";" ""Piso en el centro de Alicante TOTALMENTE REFORMADO con extraordinarias calidades. Vivienda de 163 m. Salón de 40 m, 3 dormitorios con armarios empotrados, calefacción con radiadores en todas las estancias (gas natural), 2 baños (principal con bañera de hidromasaje), carpintería de haya, parquet, climalit, cocina nueva de diseño y GARAJE.Situada a 100 m de ""El Corte Inglés"" y ""Mercadona"" y a 5 minutos del puerto deportivo."" ";"Piso en venta en calle Reyes Católicos, 57, Ensanche-Diputación, Alicante / Alacant";"285000";"164";"3";"2ª";"-0.4933189";"38.341055"
"5";"https://www.idealista.com/inmueble/29392500/";" ""Piso céntrico 1º con ascensor, coqueto, prácticamente a estrenar, con aire acondicionado y bomba de calor, patio interior privado con lavadero, muebles de cocina en madera de haya, vitrocerámica y campana extractora Teka, puertas de haya vaporizada, alicatados de 1ª calidad, ducha con mampara. Vistas a la Iglesia Parroquial. Ideal para personas mayores, jóvenes independientes, o parejas con poca familia. De fácil y rápida limpieza."" ";"Piso en venta en calle Santísimo Sacramento, 1, Caudete";"72000";"75";"3";"1ª";"-0.9892436";"38.7027767"
"6";"https://www.idealista.com/inmueble/30632146/";" ""Zona muy tranquila. Suelo de parquet haya, terraza orientada a zona jardín, calefacción por caldera, aire acondicionado empotrado, ventanas climalit, puertas norma, grifería grohe, mamparas en baños, sanitarios roca. Finca 7 años, chico solo no fumador no niños."" ";"Piso en venta en calle de montseny, 6, Montornès del Vallès";"195000";"105";"3";"1ª";"2.2646751";"41.5451818"
"7";"https://www.idealista.com/inmueble/1818999/";" ""la casa se vende amueblada y con electrodomésticos, las puertas son de haya vaporizada, parquet de la la marca flit, azulejos de diseño y la cocina de diseño italiano distribución: terraza privada descubierta de 25 m2 más trastero de 5 metros y plaza de garaje incluida en el precio 7 vecinos en el edificio la casa dispone de: portero automático"" ";"Piso en venta en calle Santander, 1, Centro, Santa Pola";"155000";"130";"3";"1ª";"-0.5223226";"38.2538451"
"8";"https://www.idealista.com/inmueble/1060545/";" ""Precioso chalet en la mejor zona de Mazuecos, cerca de linea de bus Alsa, y con buen acceso por carretera. Vivienda seminueva, con altas calidades y bien cuidado, con carpinteria exterior de climalit e interior de haya. Tiene parcela anterior y posterior con cenador. Buen acceso al parking donde caben dos coches y muy soleado. La urbanización es tranquila con muy buen vecindario de la zona."" ";" Casa o chalet independiente en venta en calle del Puente, Mazuecos";"67200";"120";"3";"Hipoteca 172 eur/mes - ";"-3.01419";"40.26316"
"9";"https://www.idealista.com/inmueble/25096832/";" ""Precioso piso reformado y decorado con materiales de primera calidad. Ventanas de rotura de puente térmico, puertas de cerezo, suelo de haya, hilo musical, mecanismos electricos bticino, apliques y halogenos de diseño, grifo de ducha termostático, grifos de lavavo y cocina decorativos.. . etc Todo el piso está amueblado y la cocina completamente equipada. El piso es muy luminoso y con unas vistas excelentes."" ";"Piso en venta en calle de la Flor, 1 8 G, Avda de Valladolid - Barriada Yagüe, Soria";"115000";"65";"2";"8ª";"-2.4836977";"41.7682305"
"10";"https://www.idealista.com/inmueble/32346810/";" ""Vendo piso de 80 m2, 3 habitaciones (antes 4) una de ellas con vestidor, comedor de 20 m2, cocina office con galería, gran baño y balcón.Es una segunda planta exterior y con ascensor. El piso está totalmente reformado, tiene calefacción, aire acondicionado, suelos de porcelanato, ventanas de aluminio blanco con climalit y mosquiteras, puertas interiores de haya y puerta de entrada blindada. PLAZA PARKING OPCIONAL."" ";"Piso en venta en calle de sant pere, 64, Barberà del Vallès";"150000";"80";"3";"2ª";"2.130564";"41.5182633"
"11";"https://www.idealista.com/inmueble/1761942/";" ""Piso en obra nueva, junto Pl. Carretas. Edificio de 4 plantas y 8 vecinos. Acabados de primerísima calidad (puertas de haya vaporizada, domótica, ventanas con puente de ruptura térmica y acústica, preinstalcaión de aire acondicionado, etc. ). Segunda planta. 4 habitaciones, 2 baños, lavadero. 3 armarios empotrados. Garaje y trastero incluidos. También disponible ático en el mismo edificio."" ";"Piso en venta en calle Cid, 17, Centro - Carretas, Albacete";"250000";"120";"4";"3ª";"-1.8503512";"38.9918003"
"12";"https://www.idealista.com/inmueble/25376862/";" ""vivenda muy luminosa, excelente orientacion, hilo musical, chimenea en salon, suelo y puertas correderas de haya, radiadores de aluminio, instalacion electrica conmutada, cocina totalmente equipada, garaje reformado con oficce. jardin preparado cn caseta, leñera, barbacoa, riego automatico, setos cerrados..."" ";" Chalet pareado en venta en calle Zaldiaran, 7, Ribera Baja";"240000";"180";"3";"Hipoteca 616 eur/mes - ";"-2.8654618";"42.7452516"
"13";"https://www.idealista.com/inmueble/32508874/";" ""Superf. 50 m², 2 habitaciones (1 doble, 1 individual), 1 baño, cocina, comedor (15m²), suelos gres, año construcción 1966, carpintería exterior aluminio, carpintería interior haya, exterior todo, interior baño, orientación oeste, balcón (2m²), Estado certificación: En trámite."" ";"Piso en venta en Urb. centro, Fondo, Santa Coloma de Gramenet";"66200";"55";"2";"2ª";"2.219547";"41.4493319"
"14";"https://www.idealista.com/inmueble/30901058/";" ""Superf. 110 m², 850 m² solar, 3 habitaciones (3 dobles), 1 baño, cocina, comedor, jardín, calefacción, puerta blindada, agua, luz, chimenea, carpintería exterior CLIMALIT, carpintería interior HAYA, soleado, teléfono, Luz."" ";" Casa o chalet independiente en venta en Monserrat";"145000";"110";"3";"Hipoteca 371 eur/mes - ";"-0.58961";"39.3695199"
"15";"https://www.idealista.com/inmueble/30901263/";" ""Superf. 110 m², 3 habitaciones (2 dobles, 1 individual), 2 baños, cocina, lavadero, comedor, terraza (DE 8 M2), trastero, suelos GRES, garaje (PZA. INCLUIDA), ascensor, armarios, calefacción, puerta blindada, portero automático, año construcción 2 AÑOS, agua, luz, gas, carpintería exterior ALUMINIO CLIMALIT, carpintería interior HAYA, aire acondicionado, exterior, soleado, piscina, balcón."" ";"Piso en venta en Puig";"196000";"110";"3";"1ª";"-0.3072122";"39.5897276"
